provider_id,provider_id_check,npi,npi_check,first_name,first_name_check,last_name,last_name_check,credential,credential_check,full_name,full_name_check,primary_specialty,primary_specialty_check,practice_address_line1,practice_address_line1_check,practice_address_line2,practice_address_line2_check,practice_city,practice_city_check,practice_state,practice_state_check,practice_zip,practice_zip_check,practice_phone,practice_phone_check,mailing_address_line1,mailing_address_line1_check,mailing_address_line2,mailing_address_line2_check,mailing_city,mailing_city_check,mailing_state,mailing_state_check,mailing_zip,mailing_zip_check,license_number,license_number_check,license_state,license_state_check,license_expiration,license_expiration_check,accepting_new_patients,accepting_new_patients_check,board_certified,board_certified_check,years_in_practice,years_in_practice_check,medical_school,medical_school_check,residency_program,residency_program_check,last_updated,last_updated_check,taxonomy_code,taxonomy_code_check
PR_00001,not_found,0133890832,correct,Rajesh,correct,Davis,correct,MD,correct,"Rajesh Davis, MD",not_found,Pulmonology,Y,4013 Hollywood Blvd,correct,,4013 Hollywood Blvd,SAN FRANCISCO,correct,CA,correct,90002,correct,818  865.9928,correct,4013 Hollywood Blvd,correct,,4013 Hollywood Blvd,San Francisco,4013 Hollywood Blvd,CA,4013 Hollywood Blvd,90002,4013 Hollywood Blvd,A21395,correct,CA,correct,2025-05-14,EXPIRED:2025-05-14,No,2024-12-20,True,Pulmonology,29,4013 Hollywood Blvd,University of Michigan Medical School,correct,NewYork-Presbyterian Hospital,correct,2025-08-30,2025-05-07,221429110X,207RP1001X
PR_00002,not_found,7816184956,correct,Ahmed,correct,Ramirez,correct,MD PhD,correct,"Ahmed Ramirez, MD PhD",not_found,Internal Medicine,Y,3528 Third Ave,correct,,3528 Third Ave,Brooklyn,correct,NY,correct,10002,correct,(424) 396-2139,correct,3528 Third Ave,correct,,3528 Third Ave,Brooklyn,3528 Third Ave,NY,3528 Third Ave,10002,3528 Third Ave,060NY460663,correct,NY,correct,2024-06-25,EXPIRED:2024-06-25,Yes,2024-04-02,True,correct,19,3528 Third Ave,Stanford University School of Medicine,correct,Cleveland Clinic,not_found,2025-07-13,2025-02-18,251019678X,207R00000X
PR_00003,not_found,0305641393,correct,Thomas,Thomas K,Robinson,correct,MD PhD,correct,"Thomas Robinson, MD PhD",not_found,Radiology,Y,5821 Park Ave,correct,,5821 Park Ave,Buffalo,correct,NY,correct,10002,correct,(818) 522-4483,correct,4011 Madison Ave,5821 Park Ave,Suite 755,5821 Park Ave,Syracuse,5821 Park Ave,NY,5821 Park Ave,11202,5821 Park Ave,060NY821590,correct,NY,correct,2024-03-25,EXPIRED:2024-03-25,Unknown,2023-10-27,False,correct,26,5821 Park Ave,UCSF School of Medicine,correct,Mayo Clinic,not_found,2025-04-20,2025-01-05,218740864X,207R00000X
PR_00004,not_found,2269166973,correct,Joseph,correct,Chen,correct,MD PhD,correct,"Joseph Chen, MD PhD",not_found,Cardiology,Y,7020 Pico Blvd,correct,Suite 241,7020 Pico Blvd,Oakland,correct,CA,correct,91001,correct,(323) 457-1188,correct,7020 Pico Blvd,correct,Suite 241,7020 Pico Blvd,Oakland,7020 Pico Blvd,CA,7020 Pico Blvd,91001,7020 Pico Blvd,A21915,correct,CA,correct,2023-04-07,EXPIRED:2023-04-07,Unknown,2022-07-18,True,Cardiology,35,7020 Pico Blvd,Columbia University Vagelos College of Physicians and Surgeons,correct,UCLA Medical Center,correct,2025-07-07,2025-08-10,239392920X,207RC0000X
PR_00005,not_found,3252880955,correct,Linda,correct,Hernandez,correct,DO PhD,correct,"Linda Hernandez, DO PhD",not_found,Urology,Y,4316 York Ave,correct,,4316 York Ave,Queens,correct,NY,correct,14201,correct,3102192832,correct,4316 York Ave,correct,,4316 York Ave,Queens,4316 York Ave,NY,4316 York Ave,14201,4316 York Ave,060NY412942,correct,NY,correct,2025-11-05,correct,No,2023-11-22,False,correct,16,4316 York Ave,Harvard Medical School,correct,Cleveland Clinic,not_found,2024-11-16,2024-10-02,210570592X,207U00000X
PR_00006,not_found,5787133150,correct,David,correct,Shah,correct,MD,correct,"David Shah, MD",not_found,Oncology,Y,8728 Sunset Blvd,correct,,8728 Sunset Blvd,San Francisco,correct,CA,correct,93001,correct,(212) 802-4770,correct,8646 Pico Blvd,8728 Sunset Blvd,,8728 Sunset Blvd,Oakland,8728 Sunset Blvd,CA,8728 Sunset Blvd,90004,8728 Sunset Blvd,A36365,correct,CA,correct,2024-09-30,EXPIRED:2024-09-30,Unknown,2024-01-10,True,Oncology,1,8728 Sunset Blvd,Stanford University School of Medicine,correct,Massachusetts General Hospital,correct,2025-05-08,2025-08-06,209046318X,207RO0300X
PR_00007,not_found,7631165667,correct,Mohammed,Mohammed A,Williams,correct,MD PhD,correct,"Mohammed Williams, MD PhD",not_found,Psychiatry,Y,3900 Lexington Ave,correct,,3900 Lexington Ave,Syracuse,correct,NY,correct,10004,correct,(310) 946-1887,correct,3900 Lexington Ave,correct,,3900 Lexington Ave,Syracuse,3900 Lexington Ave,NY,3900 Lexington Ave,10004,3900 Lexington Ave,060NY698782,correct,NY,correct,2025-08-26,EXPIRED:2025-08-26,Unknown,2024-07-31,True,correct,4,3900 Lexington Ave,UCLA David Geffen School of Medicine,correct,UCLA Medical Center,not_found,2025-07-09,2025-08-19,233374088X,207P00000X
PR_00008,not_found,6773602605,correct,Christopher,Christopher N,Gonzalez,correct,DO PhD,correct,"Christopher Gonzalez, DO PhD",not_found,Orthopedic Surgery,Y,3007 Lexington Ave,correct,,3007 Lexington Ave,Syracuse,correct,NY,correct,10004,correct,(213) 471-8454,2134718454,9017 Fifth Ave,3007 Lexington Ave,,3007 Lexington Ave,New York,3007 Lexington Ave,NY,3007 Lexington Ave,14201,3007 Lexington Ave,060NY197793,correct,NY,correct,2024-04-29,EXPIRED:2024-04-29,No,2024-02-15,False,correct,36,3007 Lexington Ave,UCSF School of Medicine,correct,Mayo Clinic,not_found,2025-05-28,2024-09-12,239823450X,207X00000X
PR_00009,not_found,2191361936,correct,Christopher,Christopher A,Brown,correct,MD,correct,"Christopher Brown, MD",not_found,Pediatrics,Y,937 Main St,correct,,937 Main St,Santa Ana,correct,CA,correct,94001,correct,(424) 808-1651,correct,937 Main St,correct,,937 Main St,Santa Ana,937 Main St,CA,937 Main St,94001,937 Main St,A17455,correct,CA,correct,2025-11-06,correct,Unknown,2025-07-29,True,Pediatrics,27,937 Main St,University of Michigan Medical School,correct,UCLA Medical Center,correct,2025-04-22,2025-03-25,227415205X,208000000X
PR_00010,not_found,9911838427,correct,Priya,Priya D,Lee,correct,DO,correct,"Priya Lee, DO",not_found,Pulmonology,Y,2145 Columbus Ave,correct,,2145 Columbus Ave,Buffalo,correct,NY,correct,11203,correct,(929) 270-5002,correct,2145 Columbus Ave,correct,,2145 Columbus Ave,Buffalo,2145 Columbus Ave,NY,2145 Columbus Ave,11203,2145 Columbus Ave,060NY176066,correct,NY,correct,2023-01-20,EXPIRED:2023-01-20,No,2021-03-03,False,correct,11,2145 Columbus Ave,UCSF School of Medicine,correct,NewYork-Presbyterian Hospital,not_found,2024-10-24,2024-10-28,287775215X,207RP1001X
